fid,risk,CODE_5_18
1940,15,14000
1941,15,12100
1942,15,11110
1943,15,11110
1944,15,11110
1945,15,11110
1946,15,11110
1947,15,11110
1948,15,11110
2011,15,11110
2012,15,11110
2013,15,11110
2014,15,12100
2015,15,12100
2016,15,11110
2017,15,12100
2018,15,14000
2019,15,14000
2020,15,14000
2021,15,11110
2022,15,11110
2023,15,11110
2024,15,11110
2025,15,12100
2026,15,11110
2027,15,11110
2028,15,11110
2029,15,11110
2079,15,11110
2080,15,11110
2081,15,11110
2131,15,11110
2132,15,11110
2133,15,11110
2183,15,11110
2184,15,11110
2185,15,11110
