fid,risk,CODE_5_18
2192,15,11110
2193,15,11110
2194,15,11110
2195,15,11110
2196,15,11110
2197,15,11110
2198,15,11110
2199,15,11110
2200,15,11110
2201,15,11110
2202,15,11110
2203,15,11110
2204,15,11110
2205,15,11110
2206,15,11110
2207,15,11110
2208,15,11110
2209,15,11110
2210,15,11110
2211,15,11110
2212,15,11110
2213,15,11110
2214,15,11110
2215,15,11110
2216,15,11110
2217,15,11110
2218,15,11110
2219,15,11110
2220,15,11110
2221,15,11110
2222,15,11110
2223,15,11110
2224,15,11110
2225,15,11110
2226,15,11110
2227,15,11110
2228,15,11110
2229,15,11110
2230,15,11110
2231,15,11110
2232,15,11110
2233,15,11110
